Agent ID,Agent Name,Gender,Date of Birth,Department ID,Team Manager
1,Casey Rocha,Male,12/09/1992,2,Catherine Torres
2,Crystal Sanders,Female,25/05/1997,1,Jesus Smith
3,Kelly Warner,Female,06/06/1993,2,Gregory Dixon
4,Randy Thompson,Male,03/12/1996,1,Gregory Dixon
5,Megan Garcia,Female,08/01/2000,1,Lindsey Campbell
6,Pamela Smith,Female,01/01/2000,3,Jesus Smith
7,William Wood,Male,10/01/1995,4,William Hunt
8,Brandon Parsons,Male,02/06/1994,4,Lindsey Campbell
9,Daniel Davis,Male,07/04/1994,2,Lindsey Campbell
10,Sharon Paul,Male,16/05/2000,1,Jesus Smith
11,Andrea Hancock,Female,04/02/1992,1,Catherine Torres
12,Marcus Byrd,Male,19/01/1996,1,Jesus Smith
13,Angela Porter,Female,07/02/2000,1,Catherine Torres
14,Mike Mack,Male,05/01/2000,2,William Hunt
15,Walter Morris,Male,20/01/1997,4,Gregory Dixon
16,Gregory Ramirez,Male,05/04/2001,3,Gregory Dixon
17,David Hernandez,Male,13/03/2001,2,William Hunt
18,Matthew Johnson,Male,30/05/1998,1,Catherine Torres
19,Brian Hendrix,Male,18/08/1992,1,Gregory Dixon
20,Rhonda Lambert,Female,12/02/1995,1,Lindsey Campbell
21,Christopher Williams,Female,28/04/2001,1,William Hunt
22,Kimberly Jones,Female,15/05/1996,3,Catherine Torres
23,Lee Lester,Male,25/02/1996,3,William Hunt
24,Jason Wilson,Male,10/08/1995,3,Gregory Dixon
25,Abigail Rojas,Female,18/02/1993,1,Lindsey Campbell
